frame_number,ID,LT,RB,score
2157,2,"(839, 200)","(1094, 537)",0.15
2158,2,"(844, 201)","(1087, 524)",0.14
2159,2,"(843, 200)","(1087, 520)",0.15
2160,2,"(852, 198)","(1089, 519)",0.14
2161,2,"(852, 198)","(1089, 519)",0.14
2162,2,"(852, 197)","(1086, 519)",0.15
2163,2,"(853, 195)","(1086, 518)",0.15
2164,2,"(853, 194)","(1086, 519)",0.15
2165,2,"(853, 194)","(1087, 519)",0.15
2166,2,"(853, 194)","(1087, 519)",0.15
2167,2,"(853, 194)","(1086, 520)",0.14
2168,2,"(853, 196)","(1086, 520)",0.14
2169,2,"(852, 196)","(1085, 517)",0.14
2170,2,"(852, 195)","(1083, 516)",0.15
2171,2,"(853, 194)","(1083, 516)",0.14
2172,2,"(853, 197)","(1083, 516)",0.15
2173,2,"(852, 199)","(1089, 520)",0.13
2174,2,"(853, 201)","(1090, 522)",0.13
2175,2,"(850, 203)","(1089, 523)",0.13
2176,2,"(850, 203)","(1089, 523)",0.13
2177,2,"(851, 203)","(1092, 527)",0.14
2178,2,"(852, 207)","(1091, 539)",0.13
2179,2,"(852, 214)","(1091, 544)",0.14
2180,2,"(853, 221)","(1090, 547)",0.15
2181,2,"(853, 220)","(1090, 548)",0.15
2182,2,"(852, 226)","(1091, 553)",0.14
2183,2,"(851, 229)","(1086, 555)",0.15
2184,2,"(849, 237)","(1086, 555)",0.15
2185,2,"(845, 238)","(1084, 556)",0.15
2186,2,"(849, 239)","(1085, 557)",0.15
2187,2,"(849, 237)","(1086, 558)",0.15
2188,2,"(845, 242)","(1083, 559)",0.14
2189,2,"(848, 243)","(1085, 563)",0.15
2190,2,"(847, 245)","(1084, 563)",0.15
2191,2,"(848, 245)","(1085, 564)",0.15
2192,2,"(849, 246)","(1085, 566)",0.15
2193,2,"(849, 249)","(1087, 567)",0.15
2194,2,"(850, 249)","(1086, 567)",0.15
2195,2,"(849, 253)","(1086, 568)",0.14
2196,2,"(849, 253)","(1086, 568)",0.14
2197,2,"(849, 249)","(1085, 567)",0.15
2333,2,"(503, 236)","(544, 284)",0.24
2344,2,"(641, 238)","(681, 283)",0.25
2353,2,"(4, 260)","(41, 314)",0.30
2363,2,"(696, 235)","(735, 281)",0.27
2364,2,"(697, 235)","(735, 281)",0.27
2365,2,"(697, 235)","(735, 281)",0.27
2366,2,"(697, 235)","(736, 281)",0.27
2367,2,"(697, 235)","(736, 281)",0.26
2368,2,"(697, 235)","(736, 281)",0.27
2381,2,"(806, 206)","(1044, 520)",0.11
2382,2,"(806, 205)","(1044, 521)",0.11
2383,2,"(811, 214)","(1047, 523)",0.13
2384,2,"(841, 219)","(1074, 526)",0.13
2385,2,"(839, 220)","(1082, 534)",0.13
2386,2,"(830, 221)","(1074, 537)",0.12
2387,2,"(830, 221)","(1074, 537)",0.12
2388,2,"(851, 235)","(1085, 543)",0.14
2389,2,"(863, 248)","(1099, 554)",0.16
2390,2,"(869, 252)","(1106, 557)",0.16
2391,2,"(874, 257)","(1106, 558)",0.17
2392,2,"(874, 256)","(1105, 558)",0.17
2393,2,"(878, 258)","(1112, 560)",0.16
2394,2,"(885, 250)","(1122, 559)",0.17
2395,2,"(884, 247)","(1125, 557)",0.17
2396,2,"(893, 247)","(1128, 557)",0.15
2397,2,"(893, 247)","(1128, 557)",0.15
2398,2,"(895, 244)","(1129, 555)",0.15
2399,2,"(886, 244)","(1130, 553)",0.14
2400,2,"(886, 242)","(1131, 554)",0.14
2401,2,"(889, 243)","(1136, 565)",0.14
2402,2,"(887, 244)","(1136, 565)",0.15
2403,2,"(888, 243)","(1135, 564)",0.14
2404,2,"(889, 240)","(1126, 559)",0.15
2405,2,"(887, 240)","(1125, 561)",0.14
2406,2,"(884, 240)","(1126, 563)",0.14
2407,2,"(885, 241)","(1126, 563)",0.13
2408,2,"(884, 241)","(1126, 564)",0.13
2409,2,"(883, 244)","(1126, 567)",0.13
2410,2,"(881, 247)","(1126, 573)",0.12
