frame_number,ID,LT,RB,score
3943,4,"(624, 167)","(817, 415)",0.15
3944,4,"(628, 170)","(815, 408)",0.14
3946,4,"(624, 166)","(813, 406)",0.14
3947,4,"(621, 162)","(814, 408)",0.15
3948,4,"(620, 161)","(815, 410)",0.15
3949,4,"(619, 162)","(812, 409)",0.15
3950,4,"(619, 164)","(811, 408)",0.14
4009,4,"(612, 158)","(792, 385)",0.14
4010,4,"(611, 158)","(791, 384)",0.14
4011,4,"(611, 158)","(792, 385)",0.14
4012,4,"(611, 157)","(792, 386)",0.14
4013,4,"(617, 157)","(792, 387)",0.10
